Target Distance (in),Hood Angle (deg),Shot Exit Velocity (ips),Flywheel Command Speed (ips)
105,31.9,178.04,241.43
106,76.9,NaN,NaN
106,71.9,317.97,360.00
106,66.9,244.29,300.00
106,61.9,214.26,278.10
106,56.9,202.69,266.38
106,51.9,193.56,257.14
106,46.9,183.34,246.79
106,41.9,181.10,244.53
106,36.9,179.50,242.91
106,31.9,178.74,242.14
107,76.9,NaN,NaN
107,71.9,NaN,NaN
107,66.9,246.05,301.25
107,61.9,215.20,279.05
107,56.9,203.53,267.23
107,51.9,194.37,257.96
107,46.9,184.08,247.55
107,41.9,181.84,245.28
107,36.9,180.22,243.64
107,31.9,179.45,242.86
108,76.9,NaN,NaN
108,71.9,NaN,NaN
108,66.9,247.81,302.50
108,61.9,216.14,280.00
108,56.9,204.37,268.09
108,51.9,195.17,258.78
108,46.9,184.83,248.30
108,41.9,182.59,246.04
108,36.9,180.94,244.36
108,31.9,180.15,243.57
109,76.9,NaN,NaN
109,71.9,NaN,NaN
109,66.9,249.56,303.75
109,61.9,217.48,280.95
109,56.9,205.21,268.94
109,51.9,195.98,259.59
109,46.9,185.57,249.06
109,41.9,183.34,246.79
109,36.9,181.66,245.09
109,31.9,180.86,244.29
110,76.9,NaN,NaN
110,71.9,NaN,NaN
110,66.9,251.32,305.00
110,61.9,218.82,281.90
110,56.9,206.05,269.79
110,51.9,196.79,260.41
110,46.9,186.32,249.81
110,41.9,184.08,247.55
110,36.9,182.37,245.82
110,31.9,181.57,245.00
111,76.9,NaN,NaN
111,71.9,NaN,NaN
111,66.9,253.08,306.25
111,61.9,220.16,282.86
111,56.9,206.89,270.64
111,51.9,197.59,261.22
111,46.9,187.06,250.57
111,41.9,184.83,248.30
111,36.9,183.09,246.55
111,31.9,182.27,245.71
112,76.9,NaN,NaN
112,71.9,NaN,NaN
112,66.9,254.84,307.50
112,61.9,221.50,283.81
112,56.9,207.73,271.49
112,51.9,198.40,262.04
112,46.9,187.81,251.32
112,41.9,185.57,249.06
112,36.9,183.81,247.27
112,31.9,182.98,246.43
113,76.9,NaN,NaN
113,71.9,NaN,NaN
113,66.9,256.60,308.75
113,61.9,222.84,284.76
113,56.9,208.57,272.34
113,51.9,199.21,262.86
113,46.9,188.55,252.08
113,41.9,186.32,249.81
113,36.9,184.53,248.00
113,31.9,183.68,247.14
114,76.9,NaN,NaN
114,71.9,NaN,NaN
114,66.9,258.36,310.00
114,61.9,224.18,285.71
114,56.9,209.41,273.19
114,51.9,200.01,263.67
114,46.9,189.30,252.83
114,41.9,187.06,250.57
114,36.9,185.25,248.73
114,31.9,184.39,247.86
115,76.9,NaN,NaN
115,71.9,NaN,NaN
115,66.9,260.12,311.25
115,61.9,225.52,286.67
115,56.9,210.26,274.04
115,51.9,200.82,264.49
115,46.9,190.05,253.58
115,41.9,187.81,251.32
115,36.9,185.97,249.45
115,31.9,185.09,248.57
116,76.9,NaN,NaN
116,71.9,NaN,NaN
116,66.9,261.88,312.50
116,61.9,226.86,287.62
116,56.9,211.10,274.89
116,51.9,201.63,265.31
116,46.9,190.79,254.34
116,41.9,188.55,252.08
116,36.9,186.68,250.18
116,31.9,185.80,249.29
117,76.9,NaN,NaN
117,71.9,NaN,NaN
117,66.9,263.64,313.75
117,61.9,228.20,288.57
117,56.9,211.94,275.74
117,51.9,202.43,266.12
117,46.9,191.54,255.09
117,41.9,189.30,252.83
117,36.9,187.40,250.91
117,31.9,186.50,250.00
118,76.9,NaN,NaN
118,71.9,NaN,NaN
118,66.9,265.40,315.00
118,61.9,229.54,289.52
118,56.9,212.78,276.60
118,51.9,203.24,266.94
118,46.9,192.28,255.85
118,41.9,190.05,253.58
118,36.9,188.12,251.64
118,31.9,187.21,250.71
119,76.9,NaN,NaN
119,71.9,NaN,NaN
119,66.9,267.16,316.25
119,61.9,230.88,290.48
119,56.9,213.62,277.45
119,51.9,204.04,267.76
119,46.9,193.03,256.60
119,41.9,190.79,254.34
119,36.9,188.84,252.36
119,31.9,187.92,251.43
120,76.9,NaN,NaN
120,71.9,NaN,NaN
120,66.9,268.91,317.50
120,61.9,232.22,291.43
120,56.9,214.46,278.30
120,51.9,204.85,268.57
120,46.9,193.77,257.36
120,41.9,191.54,255.09
120,36.9,189.56,253.09
120,31.9,188.62,252.14
121,76.9,NaN,NaN
121,71.9,NaN,NaN
121,66.9,270.67,318.75
121,61.9,233.56,292.38
121,56.9,215.30,279.15
121,51.9,205.66,269.39
121,46.9,194.52,258.11
121,41.9,192.28,255.85
121,36.9,190.28,253.82
121,31.9,189.33,252.86
122,76.9,NaN,NaN
122,71.9,NaN,NaN
122,66.9,272.43,320.00
122,61.9,234.90,293.33
122,56.9,216.14,280.00
122,51.9,206.46,270.20
122,46.9,195.26,258.87
122,41.9,193.03,256.60
122,36.9,190.99,254.55
122,31.9,190.03,253.57
123,76.9,NaN,NaN
123,71.9,NaN,NaN
123,66.9,274.41,321.74
123,61.9,236.25,294.29
123,56.9,217.36,280.87
123,51.9,207.27,271.02
123,46.9,196.01,259.62
123,41.9,193.77,257.36
123,36.9,191.71,255.27
123,31.9,190.74,254.29
124,76.9,NaN,NaN
124,71.9,NaN,NaN
124,66.9,276.39,323.48
124,61.9,237.59,295.24
124,56.9,218.59,281.74
124,51.9,208.08,271.84
124,46.9,196.76,260.38
124,41.9,194.52,258.11
124,36.9,192.43,256.00
124,31.9,191.44,255.00
125,76.9,NaN,NaN
125,71.9,NaN,NaN
125,66.9,278.37,325.22
125,61.9,238.93,296.19
125,56.9,219.81,282.61
125,51.9,208.88,272.65
125,46.9,197.50,261.13
125,41.9,195.26,258.87
125,36.9,193.15,256.73
125,31.9,192.15,255.71
126,76.9,NaN,NaN
126,71.9,NaN,NaN
126,66.9,280.35,326.96
126,61.9,240.27,297.14
126,56.9,221.04,283.48
126,51.9,209.69,273.47
126,46.9,198.25,261.89
126,41.9,196.01,259.62
126,36.9,193.87,257.45
126,31.9,192.86,256.43
127,76.9,NaN,NaN
127,71.9,NaN,NaN
127,66.9,282.33,328.70
127,61.9,241.61,298.10
127,56.9,222.26,284.35
127,51.9,210.50,274.29
127,46.9,198.99,262.64
127,41.9,196.76,260.38
127,36.9,194.59,258.18
127,31.9,193.56,257.14
128,76.9,NaN,NaN
128,71.9,NaN,NaN
128,66.9,284.31,330.43
128,61.9,242.95,299.05
128,56.9,223.48,285.22
128,51.9,211.30,275.10
128,46.9,199.74,263.40
128,41.9,197.50,261.13
128,36.9,195.31,258.91
128,31.9,194.27,257.86
129,76.9,NaN,NaN
129,71.9,NaN,NaN
129,66.9,286.29,332.17
129,61.9,244.29,300.00
129,56.9,224.71,286.09
129,51.9,212.11,275.92
129,46.9,200.48,264.15
129,41.9,198.25,261.89
129,36.9,196.02,259.64
129,31.9,194.97,258.57
130,76.9,NaN,NaN
130,71.9,NaN,NaN
130,66.9,288.27,333.91
130,61.9,245.63,300.95
130,56.9,225.93,286.96
130,51.9,212.92,276.73
130,46.9,201.23,264.91
130,41.9,198.99,262.64
130,36.9,196.74,260.36
130,31.9,195.68,259.29
131,76.9,NaN,NaN
131,71.9,NaN,NaN
131,66.9,290.25,335.65
131,61.9,246.97,301.90
131,56.9,227.15,287.83
131,51.9,213.72,277.55
131,46.9,201.98,265.66
131,41.9,199.74,263.40
131,36.9,197.46,261.09
131,31.9,196.38,260.00
132,76.9,NaN,NaN
132,71.9,NaN,NaN
132,66.9,292.23,337.39
132,61.9,248.31,302.86
132,56.9,228.38,288.70
132,51.9,214.53,278.37
132,46.9,202.72,266.42
132,41.9,200.48,264.15
132,36.9,198.18,261.82
132,31.9,197.09,260.71
133,76.9,NaN,NaN
133,71.9,NaN,NaN
133,66.9,294.21,339.13
133,61.9,249.65,303.81
133,56.9,229.60,289.57
133,51.9,215.33,279.18
133,46.9,203.47,267.17
133,41.9,201.23,264.91
133,36.9,198.90,262.55
133,31.9,197.79,261.43
134,76.9,NaN,NaN
134,71.9,NaN,NaN
134,66.9,296.19,340.87
134,61.9,250.99,304.76
134,56.9,230.83,290.43
134,51.9,216.14,280.00
134,46.9,204.21,267.92
134,41.9,201.98,265.66
134,36.9,199.62,263.27
134,31.9,198.50,262.14
135,76.9,NaN,NaN
135,71.9,NaN,NaN
135,66.9,298.17,342.61
135,61.9,252.33,305.71
135,56.9,232.05,291.30
135,51.9,217.16,280.73
135,46.9,204.96,268.68
135,41.9,202.72,266.42
135,36.9,200.33,264.00
135,31.9,199.21,262.86
136,76.9,NaN,NaN
136,71.9,NaN,NaN
136,66.9,300.15,344.35
136,61.9,253.67,306.67
136,56.9,233.27,292.17
136,51.9,218.19,281.45
136,46.9,205.70,269.43
136,41.9,203.47,267.17
136,36.9,201.05,264.73
136,31.9,199.91,263.57
137,76.9,NaN,NaN
137,71.9,NaN,NaN
137,66.9,302.13,346.09
137,61.9,255.01,307.62
137,56.9,234.50,293.04
137,51.9,219.21,282.18
137,46.9,206.45,270.19
137,41.9,204.21,267.92
137,36.9,201.77,265.45
137,31.9,200.62,264.29
138,76.9,NaN,NaN
138,71.9,NaN,NaN
138,66.9,304.11,347.83
138,61.9,256.35,308.57
138,56.9,235.72,293.91
138,51.9,220.23,282.91
138,46.9,207.19,270.94
138,41.9,204.96,268.68
138,36.9,202.49,266.18
138,31.9,201.32,265.00
139,76.9,NaN,NaN
139,71.9,NaN,NaN
139,66.9,306.09,349.57
139,61.9,257.69,309.52
139,56.9,236.94,294.78
139,51.9,221.26,283.64
139,46.9,207.94,271.70
139,41.9,205.70,269.43
139,36.9,203.21,266.91
139,31.9,202.03,265.71
140,76.9,NaN,NaN
140,71.9,NaN,NaN
140,66.9,308.07,351.30
140,61.9,259.03,310.48
140,56.9,238.17,295.65
140,51.9,222.28,284.36
140,46.9,208.69,272.45
140,41.9,206.45,270.19
140,36.9,203.93,267.64
140,31.9,202.73,266.43
141,76.9,NaN,NaN
141,71.9,NaN,NaN
141,66.9,310.05,353.04
141,61.9,260.37,311.43
141,56.9,239.39,296.52
141,51.9,223.31,285.09
141,46.9,209.43,273.21
141,41.9,207.19,270.94
141,36.9,204.65,268.36
141,31.9,203.44,267.14
142,76.9,NaN,NaN
142,71.9,NaN,NaN
142,66.9,312.03,354.78
142,61.9,261.71,312.38
142,56.9,240.62,297.39
142,51.9,224.33,285.82
142,46.9,210.18,273.96
142,41.9,207.94,271.70
142,36.9,205.36,269.09
142,31.9,204.15,267.86
143,76.9,NaN,NaN
143,71.9,NaN,NaN
143,66.9,314.01,356.52
143,61.9,263.05,313.33
143,56.9,241.84,298.26
143,51.9,225.35,286.55
143,46.9,210.92,274.72
143,41.9,208.69,272.45
143,36.9,206.08,269.82
143,31.9,204.85,268.57
144,76.9,NaN,NaN
144,71.9,NaN,NaN
144,66.9,315.99,358.26
144,61.9,264.39,314.29
144,56.9,243.06,299.13
144,51.9,226.38,287.27
144,46.9,211.67,275.47
144,41.9,209.43,273.21
144,36.9,206.80,270.55
144,31.9,205.56,269.29
145,76.9,NaN,NaN
145,71.9,NaN,NaN
145,66.9,317.97,360.00
145,61.9,265.73,315.24
145,56.9,244.29,300.00
145,51.9,227.40,288.00
145,46.9,212.41,276.23
145,41.9,210.18,273.96
145,36.9,207.52,271.27
145,31.9,206.26,270.00
146,76.9,NaN,NaN
146,71.9,NaN,NaN
146,66.9,NaN,NaN
146,61.9,267.07,316.19
146,56.9,245.51,300.87
146,51.9,228.42,288.73
146,46.9,213.16,276.98
146,41.9,210.92,274.72
146,36.9,208.24,272.00
146,31.9,206.97,270.71
147,76.9,NaN,NaN
147,71.9,NaN,NaN
147,66.9,NaN,NaN
147,61.9,268.41,317.14
147,56.9,246.73,301.74
147,51.9,229.45,289.45
147,46.9,213.90,277.74
147,41.9,211.67,275.47
147,36.9,208.96,272.73
147,31.9,207.67,271.43
148,76.9,NaN,NaN
148,71.9,NaN,NaN
148,66.9,NaN,NaN
148,61.9,269.75,318.10
148,56.9,247.96,302.61
148,51.9,230.47,290.18
148,46.9,214.65,278.49
148,41.9,212.41,276.23
148,36.9,209.67,273.45
148,31.9,208.38,272.14
149,76.9,NaN,NaN
149,71.9,NaN,NaN
149,66.9,NaN,NaN
149,61.9,271.09,319.05
149,56.9,249.18,303.48
149,51.9,231.49,290.91
149,46.9,215.40,279.25
149,41.9,213.16,276.98
149,36.9,210.39,274.18
149,31.9,209.08,272.86
150,76.9,NaN,NaN
150,71.9,NaN,NaN
150,66.9,NaN,NaN
150,61.9,272.43,320.00
150,56.9,250.41,304.35
150,51.9,232.52,291.64
150,46.9,216.14,280.00
150,41.9,213.90,277.74
150,36.9,211.11,274.91
150,31.9,209.79,273.57
151,76.9,NaN,NaN
151,71.9,NaN,NaN
151,66.9,NaN,NaN
151,61.9,274.18,321.54
151,56.9,251.63,305.22
151,51.9,233.54,292.36
151,46.9,217.22,280.77
151,41.9,214.65,278.49
151,36.9,211.83,275.64
151,31.9,210.50,274.29
152,76.9,NaN,NaN
152,71.9,NaN,NaN
152,66.9,NaN,NaN
152,61.9,275.94,323.08
152,56.9,252.85,306.09
152,51.9,234.56,293.09
152,46.9,218.31,281.54
152,41.9,215.40,279.25
152,36.9,212.55,276.36
152,31.9,211.20,275.00
153,76.9,NaN,NaN
153,71.9,NaN,NaN
153,66.9,NaN,NaN
153,61.9,277.69,324.62
153,56.9,254.08,306.96
153,51.9,235.59,293.82
153,46.9,219.39,282.31
153,41.9,216.14,280.00
153,36.9,213.27,277.09
153,31.9,211.91,275.71
154,76.9,NaN,NaN
154,71.9,NaN,NaN
154,66.9,NaN,NaN
154,61.9,279.44,326.15
154,56.9,255.30,307.83
154,51.9,236.61,294.55
154,46.9,220.47,283.08
154,41.9,217.11,280.69
154,36.9,213.99,277.82
154,31.9,212.61,276.43
155,76.9,NaN,NaN
155,71.9,NaN,NaN
155,66.9,NaN,NaN
155,61.9,281.19,327.69
155,56.9,256.52,308.70
155,51.9,237.63,295.27
155,46.9,221.55,283.85
155,41.9,218.08,281.38
155,36.9,214.70,278.55
155,31.9,213.32,277.14
156,76.9,NaN,NaN
156,71.9,NaN,NaN
156,66.9,NaN,NaN
156,61.9,282.94,329.23
156,56.9,257.75,309.57
156,51.9,238.66,296.00
156,46.9,222.64,284.62
156,41.9,219.05,282.07
156,36.9,215.42,279.27
156,31.9,214.02,277.86
157,76.9,NaN,NaN
157,71.9,NaN,NaN
157,66.9,NaN,NaN
157,61.9,284.69,330.77
157,56.9,258.97,310.43
157,51.9,239.68,296.73
157,46.9,223.72,285.38
157,41.9,220.02,282.76
157,36.9,216.14,280.00
157,31.9,214.73,278.57
158,76.9,NaN,NaN
158,71.9,NaN,NaN
158,66.9,NaN,NaN
158,61.9,286.44,332.31
158,56.9,260.20,311.30
158,51.9,240.70,297.45
158,46.9,224.80,286.15
158,41.9,220.99,283.45
158,36.9,217.05,280.65
158,31.9,215.44,279.29
159,76.9,NaN,NaN
159,71.9,NaN,NaN
159,66.9,NaN,NaN
159,61.9,288.20,333.85
159,56.9,261.42,312.17
159,51.9,241.73,298.18
159,46.9,225.88,286.92
159,41.9,221.96,284.14
159,36.9,217.96,281.29
159,31.9,216.14,280.00
160,76.9,NaN,NaN
160,71.9,NaN,NaN
160,66.9,NaN,NaN
160,61.9,289.95,335.38
160,56.9,262.64,313.04
160,51.9,242.75,298.91
160,46.9,226.97,287.69
160,41.9,222.93,284.83
160,36.9,218.86,281.94
160,31.9,217.06,280.66
161,76.9,NaN,NaN
161,71.9,NaN,NaN
161,66.9,NaN,NaN
161,61.9,291.70,336.92
161,56.9,263.87,313.91
161,51.9,243.78,299.64
161,46.9,228.05,288.46
161,41.9,223.91,285.52
161,36.9,219.77,282.58
161,31.9,217.99,281.31
162,76.9,NaN,NaN
162,71.9,NaN,NaN
162,66.9,NaN,NaN
162,61.9,293.45,338.46
162,56.9,265.09,314.78
162,51.9,244.80,300.36
162,46.9,229.13,289.23
162,41.9,224.88,286.21
162,36.9,220.68,283.23
162,31.9,218.91,281.97
163,76.9,NaN,NaN
163,71.9,NaN,NaN
163,66.9,NaN,NaN
163,61.9,295.20,340.00
163,56.9,266.31,315.65
163,51.9,245.82,301.09
163,46.9,230.21,290.00
163,41.9,225.85,286.90
163,36.9,221.59,283.87
163,31.9,219.83,282.62
164,76.9,NaN,NaN
164,71.9,NaN,NaN
164,66.9,NaN,NaN
164,61.9,296.95,341.54
164,56.9,267.54,316.52
164,51.9,246.85,301.82
164,46.9,231.30,290.77
164,41.9,226.82,287.59
164,36.9,222.50,284.52
164,31.9,220.75,283.28
165,76.9,NaN,NaN
165,71.9,NaN,NaN
165,66.9,NaN,NaN
165,61.9,298.70,343.08
165,56.9,268.76,317.39
165,51.9,247.87,302.55
165,46.9,232.38,291.54
165,41.9,227.79,288.28
165,36.9,223.40,285.16
165,31.9,221.68,283.93
166,76.9,NaN,NaN
166,71.9,NaN,NaN
166,66.9,NaN,NaN
166,61.9,300.45,344.62
166,56.9,269.99,318.26
166,51.9,248.89,303.27
166,46.9,233.46,292.31
166,41.9,228.76,288.97
166,36.9,224.31,285.81
166,31.9,222.60,284.59
167,76.9,NaN,NaN
167,71.9,NaN,NaN
167,66.9,NaN,NaN
167,61.9,302.21,346.15
167,56.9,271.21,319.13
167,51.9,249.92,304.00
167,46.9,234.54,293.08
167,41.9,229.73,289.66
167,36.9,225.22,286.45
167,31.9,223.52,285.25
168,76.9,NaN,NaN
168,71.9,NaN,NaN
168,66.9,NaN,NaN
168,61.9,303.96,347.69
168,56.9,272.43,320.00
168,51.9,250.94,304.73
168,46.9,235.63,293.85
168,41.9,230.70,290.34
168,36.9,226.13,287.10
168,31.9,224.45,285.90
169,76.9,NaN,NaN
169,71.9,NaN,NaN
169,66.9,NaN,NaN
169,61.9,305.71,349.23
169,56.9,273.63,321.05
169,51.9,251.96,305.45
169,46.9,236.71,294.62
169,41.9,231.67,291.03
169,36.9,227.04,287.74
169,31.9,225.37,286.56
170,76.9,NaN,NaN
170,71.9,NaN,NaN
170,66.9,NaN,NaN
170,61.9,307.46,350.77
170,56.9,274.83,322.11
170,51.9,252.99,306.18
170,46.9,237.79,295.38
170,41.9,232.64,291.72
170,36.9,227.94,288.39
170,31.9,226.29,287.21
171,76.9,NaN,NaN
171,71.9,NaN,NaN
171,66.9,NaN,NaN
171,61.9,309.21,352.31
171,56.9,276.03,323.16
171,51.9,254.01,306.91
171,46.9,238.87,296.15
171,41.9,233.61,292.41
171,36.9,228.85,289.03
171,31.9,227.21,287.87
172,76.9,NaN,NaN
172,71.9,NaN,NaN
172,66.9,NaN,NaN
172,61.9,310.96,353.85
172,56.9,277.23,324.21
172,51.9,255.03,307.64
172,46.9,239.96,296.92
172,41.9,234.58,293.10
172,36.9,229.76,289.68
172,31.9,228.14,288.52
173,76.9,NaN,NaN
173,71.9,NaN,NaN
173,66.9,NaN,NaN
173,61.9,312.71,355.38
173,56.9,278.42,325.26
173,51.9,256.06,308.36
173,46.9,241.04,297.69
173,41.9,235.55,293.79
173,36.9,230.67,290.32
173,31.9,229.06,289.18
174,76.9,NaN,NaN
174,71.9,NaN,NaN
174,66.9,NaN,NaN
174,61.9,314.47,356.92
174,56.9,279.62,326.32
174,51.9,257.08,309.09
174,46.9,242.12,298.46
174,41.9,236.52,294.48
174,36.9,231.58,290.97
174,31.9,229.98,289.84
175,76.9,NaN,NaN
175,71.9,NaN,NaN
175,66.9,NaN,NaN
175,61.9,316.22,358.46
175,56.9,280.82,327.37
175,51.9,258.10,309.82
175,46.9,243.20,299.23
175,41.9,237.49,295.17
175,36.9,232.48,291.61
175,31.9,230.91,290.49
176,76.9,NaN,NaN
176,71.9,NaN,NaN
176,66.9,NaN,NaN
176,61.9,317.97,360.00
176,56.9,282.02,328.42
176,51.9,259.13,310.55
176,46.9,244.29,300.00
176,41.9,238.46,295.86
176,36.9,233.39,292.26
176,31.9,231.83,291.15
177,76.9,NaN,NaN
177,71.9,NaN,NaN
177,66.9,NaN,NaN
177,61.9,NaN,NaN
177,56.9,283.22,329.47
177,51.9,260.15,311.27
177,46.9,245.37,300.77
177,41.9,239.43,296.55
177,36.9,234.30,292.90
177,31.9,232.75,291.80
178,76.9,NaN,NaN
178,71.9,NaN,NaN
178,66.9,NaN,NaN
178,61.9,NaN,NaN
178,56.9,284.42,330.53
178,51.9,261.17,312.00
178,46.9,246.45,301.54
178,41.9,240.40,297.24
178,36.9,235.21,293.55
178,31.9,233.67,292.46
179,76.9,NaN,NaN
179,71.9,NaN,NaN
179,66.9,NaN,NaN
179,61.9,NaN,NaN
179,56.9,285.61,331.58
179,51.9,262.20,312.73
179,46.9,247.53,302.31
179,41.9,241.38,297.93
179,36.9,236.12,294.19
179,31.9,234.60,293.11
180,76.9,NaN,NaN
180,71.9,NaN,NaN
180,66.9,NaN,NaN
180,61.9,NaN,NaN
180,56.9,286.81,332.63
180,51.9,263.22,313.45
180,46.9,248.62,303.08
180,41.9,242.35,298.62
180,36.9,237.02,294.84
180,31.9,235.52,293.77
181,76.9,NaN,NaN
181,71.9,NaN,NaN
181,66.9,NaN,NaN
181,61.9,NaN,NaN
181,56.9,288.01,333.68
181,51.9,264.25,314.18
181,46.9,249.70,303.85
181,41.9,243.32,299.31
181,36.9,237.93,295.48
181,31.9,236.44,294.43
182,76.9,NaN,NaN
182,71.9,NaN,NaN
182,66.9,NaN,NaN
182,61.9,NaN,NaN
182,56.9,289.21,334.74
182,51.9,265.27,314.91
182,46.9,250.78,304.62
182,41.9,244.29,300.00
182,36.9,238.84,296.13
182,31.9,237.37,295.08
183,76.9,NaN,NaN
183,71.9,NaN,NaN
183,66.9,NaN,NaN
183,61.9,NaN,NaN
183,56.9,290.41,335.79
183,51.9,266.29,315.64
183,46.9,251.86,305.38
183,41.9,245.26,300.69
183,36.9,239.75,296.77
183,31.9,238.29,295.74
184,76.9,NaN,NaN
184,71.9,NaN,NaN
184,66.9,NaN,NaN
184,61.9,NaN,NaN
184,56.9,291.61,336.84
184,51.9,267.32,316.36
184,46.9,252.95,306.15
184,41.9,246.23,301.38
184,36.9,240.66,297.42
184,31.9,239.21,296.39
185,76.9,NaN,NaN
185,71.9,NaN,NaN
185,66.9,NaN,NaN
185,61.9,NaN,NaN
185,56.9,292.80,337.89
185,51.9,268.34,317.09
185,46.9,254.03,306.92
185,41.9,247.20,302.07
185,36.9,241.56,298.06
185,31.9,240.13,297.05
186,76.9,NaN,NaN
186,71.9,NaN,NaN
186,66.9,NaN,NaN
186,61.9,NaN,NaN
186,56.9,294.00,338.95
186,51.9,269.36,317.82
186,46.9,255.11,307.69
186,41.9,248.17,302.76
186,36.9,242.47,298.71
186,31.9,241.06,297.70
187,76.9,NaN,NaN
187,71.9,NaN,NaN
187,66.9,NaN,NaN
187,61.9,NaN,NaN
187,56.9,295.20,340.00
187,51.9,270.39,318.55
187,46.9,256.19,308.46
187,41.9,249.14,303.45
187,36.9,243.38,299.35
187,31.9,241.98,298.36
188,76.9,NaN,NaN
188,71.9,NaN,NaN
188,66.9,NaN,NaN
188,61.9,NaN,NaN
188,56.9,296.40,341.05
188,51.9,271.41,319.27
188,46.9,257.28,309.23
188,41.9,250.11,304.14
188,36.9,244.29,300.00
188,31.9,242.90,299.02
189,76.9,NaN,NaN
189,71.9,NaN,NaN
189,66.9,NaN,NaN
189,61.9,NaN,NaN
189,56.9,297.60,342.11
189,51.9,272.43,320.00
189,46.9,258.36,310.00
189,41.9,251.08,304.83
189,36.9,245.19,300.65
189,31.9,243.83,299.67
190,76.9,NaN,NaN
190,71.9,NaN,NaN
190,66.9,NaN,NaN
190,61.9,NaN,NaN
190,56.9,298.80,343.16
190,51.9,273.49,320.93
190,46.9,259.44,310.77
190,41.9,252.05,305.52
190,36.9,246.10,301.29
190,31.9,244.75,300.33
191,76.9,NaN,NaN
191,71.9,NaN,NaN
191,66.9,NaN,NaN
191,61.9,NaN,NaN
191,56.9,299.99,344.21
191,51.9,274.55,321.86
191,46.9,260.53,311.54
191,41.9,253.02,306.21
191,36.9,247.01,301.94
191,31.9,245.67,300.98
192,76.9,NaN,NaN
192,71.9,NaN,NaN
192,66.9,NaN,NaN
192,61.9,NaN,NaN
192,56.9,301.19,345.26
192,51.9,275.61,322.79
192,46.9,261.61,312.31
192,41.9,253.99,306.90
192,36.9,247.92,302.58
192,31.9,246.59,301.64
193,76.9,NaN,NaN
193,71.9,NaN,NaN
193,66.9,NaN,NaN
193,61.9,NaN,NaN
193,56.9,302.39,346.32
193,51.9,276.67,323.72
193,46.9,262.69,313.08
193,41.9,254.96,307.59
193,36.9,248.83,303.23
193,31.9,247.52,302.30
194,76.9,NaN,NaN
194,71.9,NaN,NaN
194,66.9,NaN,NaN
194,61.9,NaN,NaN
194,56.9,303.59,347.37
194,51.9,277.73,324.65
194,46.9,263.77,313.85
194,41.9,255.93,308.28
194,36.9,249.73,303.87
194,31.9,248.44,302.95
195,76.9,NaN,NaN
195,71.9,NaN,NaN
195,66.9,NaN,NaN
195,61.9,NaN,NaN
195,56.9,304.79,348.42
195,51.9,278.79,325.58
195,46.9,264.86,314.62
195,41.9,256.90,308.97
195,36.9,250.64,304.52
195,31.9,249.36,303.61
196,76.9,NaN,NaN
196,71.9,NaN,NaN
196,66.9,NaN,NaN
196,61.9,NaN,NaN
196,56.9,305.99,349.47
196,51.9,279.85,326.51
196,46.9,265.94,315.38
196,41.9,257.87,309.66
196,36.9,251.55,305.16
196,31.9,250.29,304.26
197,76.9,NaN,NaN
197,71.9,NaN,NaN
197,66.9,NaN,NaN
197,61.9,NaN,NaN
197,56.9,307.18,350.53
197,51.9,280.90,327.44
197,46.9,267.02,316.15
197,41.9,258.85,310.34
197,36.9,252.46,305.81
197,31.9,251.21,304.92
198,76.9,NaN,NaN
198,71.9,NaN,NaN
198,66.9,NaN,NaN
198,61.9,NaN,NaN
198,56.9,308.38,351.58
198,51.9,281.96,328.37
198,46.9,268.10,316.92
198,41.9,259.82,311.03
198,36.9,253.37,306.45
198,31.9,252.13,305.57
199,76.9,NaN,NaN
199,71.9,NaN,NaN
199,66.9,NaN,NaN
199,61.9,NaN,NaN
199,56.9,309.58,352.63
199,51.9,283.02,329.30
199,46.9,269.19,317.69
199,41.9,260.79,311.72
199,36.9,254.27,307.10
199,31.9,253.05,306.23
200,76.9,NaN,NaN
200,71.9,NaN,NaN
200,66.9,NaN,NaN
200,61.9,NaN,NaN
200,56.9,310.78,353.68
200,51.9,284.08,330.23
200,46.9,270.27,318.46
200,41.9,261.76,312.41
200,36.9,255.18,307.74
200,31.9,253.98,306.89
201,76.9,NaN,NaN
201,71.9,NaN,NaN
201,66.9,NaN,NaN
201,61.9,NaN,NaN
201,56.9,311.98,354.74
201,51.9,285.14,331.16
201,46.9,271.35,319.23
201,41.9,262.73,313.10
201,36.9,256.09,308.39
201,31.9,254.90,307.54
202,76.9,NaN,NaN
202,71.9,NaN,NaN
202,66.9,NaN,NaN
202,61.9,NaN,NaN
202,56.9,313.18,355.79
202,51.9,286.20,332.09
202,46.9,272.43,320.00
202,41.9,263.70,313.79
202,36.9,257.00,309.03
202,31.9,255.82,308.20
203,76.9,NaN,NaN
203,71.9,NaN,NaN
203,66.9,NaN,NaN
203,61.9,NaN,NaN
203,56.9,314.37,356.84
203,51.9,287.26,333.02
203,46.9,273.45,320.89
203,41.9,264.67,314.48
203,36.9,257.91,309.68
203,31.9,256.75,308.85
204,76.9,NaN,NaN
204,71.9,NaN,NaN
204,66.9,NaN,NaN
204,61.9,NaN,NaN
204,56.9,315.57,357.89
204,51.9,288.32,333.95
204,46.9,274.46,321.78
204,41.9,265.64,315.17
204,36.9,258.81,310.32
204,31.9,257.67,309.51
205,76.9,NaN,NaN
205,71.9,NaN,NaN
205,66.9,NaN,NaN
205,61.9,NaN,NaN
205,56.9,316.77,358.95
